serial,Heading,Subheading,difficulty,problem,link,notes
19,Solve Problems on Arrays,Medium,Medium,Print subarray with maximum subarray sum (extended version of above problem),https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,Print-version extension of Kadane's — no dedicated LC/GFG problem beyond the base Maximum Subarray
20,Solve Problems on Arrays,Medium,Medium,Stock Buy and Sell,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
21,Solve Problems on Arrays,Medium,Medium,Rearrange array elements by sign,https://leetcode.com/problems/rearrange-array-elements-by-sign/,
22,Solve Problems on Arrays,Medium,Medium,Next Permutation,https://leetcode.com/problems/next-permutation/,
23,Solve Problems on Arrays,Medium,Medium,Leaders in an Array,https://takeuforward.org/data-structure/leaders-in-an-array/,Leaders in an array' (search GFG)
24,Solve Problems on Arrays,Medium,Medium,Longest Consecutive Sequence in an Array,https://leetcode.com/problems/longest-consecutive-sequence/solution/,
25,Solve Problems on Arrays,Medium,Medium,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,
26,Solve Problems on Arrays,Medium,Medium,Rotate matrix by 90 degrees,https://leetcode.com/problems/rotate-image/,
27,Solve Problems on Arrays,Medium,Medium,Print the matrix in spiral manner,https://leetcode.com/problems/spiral-matrix/,
28,Solve Problems on Arrays,Medium,Medium,Count subarrays with given sum,https://leetcode.com/problems/subarray-sum-equals-k/,
29,Solve Problems on Arrays,Hard,Easy,Pascal's Triangle I,https://leetcode.com/problems/pascals-triangle/,
30,Solve Problems on Arrays,Hard,Hard,Majority Element-II,https://leetcode.com/problems/majority-element-ii/,
31,Solve Problems on Arrays,Hard,Medium,3 Sum,https://leetcode.com/problems/3sum/,
32,Solve Problems on Arrays,Hard,Medium,4 Sum,https://leetcode.com/problems/4sum/,
33,Solve Problems on Arrays,Hard,Medium,Largest Subarray with Sum 0,https://takeuforward.org/data-structure/length-of-the-longest-subarray-with-zero-sum/,Largest subarray with 0 sum' (search GFG)
34,Solve Problems on Arrays,Hard,Hard,Count subarrays with given xor K,https://takeuforward.org/data-structure/count-the-number-of-subarrays-with-given-xor-k/,Count subarrays with given xor K' (search GFG); same prefix-hashmap trick as LC 560 Subarray Sum Equals K
35,Solve Problems on Arrays,Hard,Medium,Merge Overlapping Subintervals,https://leetcode.com/problems/merge-intervals/,
36,Solve Problems on Arrays,Hard,Medium,Merge two sorted arrays without extra space,https://leetcode.com/problems/merge-sorted-array/,
37,Solve Problems on Arrays,Hard,Hard,Find the repeating and missing number,https://leetcode.com/problems/set-mismatch/,"LC 645 (Set Mismatch) — exact match, same problem"
38,Solve Problems on Arrays,Hard,Hard,Count Inversions,https://takeuforward.org/data-structure/count-inversions-in-an-array,Count Inversions' (search GFG) — no standalone LC problem; same merge-sort technique as Reverse Pairs (already in your sheet)
39,Solve Problems on Arrays,Hard,Hard,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/,
40,Solve Problems on Arrays,Hard,Hard,Maximum Product Subarray in an Array,https://leetcode.com/problems/maximum-product-subarray/,
41,Binary Search,BS on 1D Arrays,Easy,Search X in sorted array,https://leetcode.com/problems/binary-search/,
42,Binary Search,BS on 1D Arrays,Easy,Lower Bound,https://leetcode.com/problems/search-insert-position/,Same technique/problem as LC 35 Search Insert Position (already in your sheet under a different row)
43,Binary Search,BS on 1D Arrays,Easy,Upper Bound,https://takeuforward.org/arrays/implement-upper-bound/,Implement upper_bound()' (search GFG) — no standalone LC problem
44,Binary Search,BS on 1D Arrays,Easy,Search insert position,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity.",
45,Binary Search,BS on 1D Arrays,Easy,Floor and Ceil in Sorted Array,https://takeuforward.org/arrays/floor-and-ceil-in-sorted-array/,Floor and Ceil in a Sorted Array' (search GFG) — no standalone LC problem
46,Binary Search,BS on 1D Arrays,Easy,First and last occurrence,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,
47,Binary Search,BS on 1D Arrays,Easy,Count Occurrences in a Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,"Solved directly with LC 34 (First/Last Occurrence, already in your sheet) via (last-first+1)"
48,Binary Search,BS on 1D Arrays,Medium,Search in rotated sorted array-I,https://leetcode.com/problems/search-in-rotated-sorted-array/,
49,Binary Search,BS on 1D Arrays,Medium,Search in rotated sorted array-II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,
50,Binary Search,BS on 1D Arrays,Easy,Find minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
51,Binary Search,BS on 1D Arrays,Easy,Find out how many times the array is rotated,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Same technique/problem as LC 153 (already in your sheet) — index of minimum = rotation count
52,Binary Search,BS on 1D Arrays,Medium,Single element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,
53,Binary Search,BS on 1D Arrays,Medium,Find peak element,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks.",
54,Binary Search,BS on Answers,Medium,Find square root of a number,https://leetcode.com/problems/sqrtx/,LC 69 (Sqrt(x)) — exact match
55,Binary Search,BS on Answers,Medium,Find Nth root of a number,https://takeuforward.org/data-structure/nth-root-of-a-number-using-binary-search/,N-th root of a number' (search GFG) — generalization of LC 69 Sqrt(x)
56,Binary Search,BS on Answers,Medium,Koko eating bananas,https://leetcode.com/problems/koko-eating-bananas/,
57,Binary Search,BS on Answers,Medium,Minimum days to make M bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,
58,Binary Search,BS on Answers,Medium,Find the smallest divisor,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/,
59,Binary Search,BS on Answers,Medium,Capacity to Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,
60,Binary Search,BS on Answers,Medium,Kth Missing Positive Number,"https://leetcode.com/problems/kth-missing-positive-number/#:~:text=Given%20an%20array%20arr%20of,13%2C...%5D.",
61,Binary Search,BS on Answers,Hard,Aggressive Cows,https://leetcode.com/problems/magnetic-force-between-two-balls/,"LC 1552 (Magnetic Force Between Two Balls) — exact match, identical binary-search-on-answer problem"
62,Binary Search,BS on Answers,Hard,Book Allocation Problem,https://leetcode.com/problems/split-array-largest-sum/,Same technique/problem as LC 410 Split Array Largest Sum (already in your sheet)
63,Binary Search,BS on Answers,Hard,Split array - largest sum,https://leetcode.com/problems/split-array-largest-sum/,
64,Binary Search,BS on Answers,Medium,Painter's Partition,https://leetcode.com/problems/split-array-largest-sum/,Same technique/problem as LC 410 Split Array Largest Sum (already in your sheet)
65,Binary Search,BS on Answers,Hard,Minimize Max Distance to Gas Station,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,
66,Binary Search,BS on Answers,Hard,Median of 2 sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,
67,Binary Search,BS on Answers,Medium,Kth element of 2 sorted arrays,https://takeuforward.org/data-structure/k-th-element-of-two-sorted-arrays/,K-th element of two sorted Arrays' (search GFG) — generalization of LC 4 Median of Two Sorted Arrays (already in your sheet)
68,Binary Search,BS on 2D Arrays,Easy,Find row with maximum 1's,https://takeuforward.org/arrays/find-the-row-with-maximum-number-of-1s/,Find the row with maximum number of 1s' (search GFG) — no standalone LC problem
69,Binary Search,BS on 2D Arrays,Hard,Search in a 2D matrix,https://leetcode.com/problems/search-a-2d-matrix/,
70,Binary Search,BS on 2D Arrays,Hard,Search in 2D matrix - II,https://leetcode.com/problems/search-a-2d-matrix-ii/,
71,Binary Search,BS on 2D Arrays,Medium,Find Peak Element - II,https://leetcode.com/problems/find-a-peak-element-ii/,
72,Binary Search,BS on 2D Arrays,Hard,Matrix Median,https://takeuforward.org/data-structure/median-of-row-wise-sorted-matrix/,Median in a row-wise sorted Matrix' (search GFG) — no standalone LC problem
73,Strings,Basic and Easy String Problems,Medium,Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses/,
74,Strings,Basic and Easy String Problems,Medium,Reverse words in a given string / Palindrome Check,https://leetcode.com/problems/reverse-words-in-a-string/,
75,Strings,Basic and Easy String Problems,Easy,Largest Odd Number in a String,https://leetcode.com/problems/largest-odd-number-in-string/,
76,Strings,Basic and Easy String Problems,Easy,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,
77,Strings,Basic and Easy String Problems,Easy,Isomorphic String,https://leetcode.com/problems/isomorphic-strings/,
78,Strings,Basic and Easy String Problems,Easy,Rotate String,https://leetcode.com/problems/rotate-string/,
79,Strings,Basic and Easy String Problems,Easy,Check if two strings are anagram of each other,"https://leetcode.com/problems/valid-anagram/#:~:text=Given%20two%20strings%20s%20and,the%20original%20letters%20exactly%20once.&text=Constraints%3A,.length%20%3C%3D%205%20*%2010",
80,Strings,Medium String Problems,Easy,Sort Characters by Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,
81,Strings,Medium String Problems,Medium,Maximum Nesting Depth of the Parentheses,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,
82,Strings,Medium String Problems,Medium,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,
83,Strings,Medium String Problems,Medium,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,
84,Strings,Medium String Problems,Easy,Count Number of Substrings,https://takeuforward.org/data-structure/count-number-of-substrings,"Count number of substrings with exactly K distinct characters' (search GFG) — same atMost(k)-atMost(k-1) trick as LC 992 (already in your sheet, array version)"
85,Strings,Medium String Problems,Medium,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,
86,Strings,Medium String Problems,Medium,Sum of Beauty of All Substrings,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/,
87,Strings,Medium String Problems,Medium,Reverse every word in a string,https://leetcode.com/problems/reverse-words-in-a-string/,
88,Learn LinkedList,Learn 1D LinkedList,Easy,Introduction to Singly LinkedList,https://takeuforward.org/linked-list/linked-list-introduction,Concept/theory video — no coding problem
89,Learn LinkedList,Learn 1D LinkedList,Easy,Insertion at the head of Linked List,https://takeuforward.org/linked-list/insert-at-the-head-of-a-linked-list,Fundamental LL operation — implement directly
90,Learn LinkedList,Learn 1D LinkedList,Easy,Deletion of the head of LL,https://leetcode.com/problems/delete-node-in-a-linked-list/,
91,Learn LinkedList,Learn 1D LinkedList,Easy,Find the length of the Linked List,https://takeuforward.org/linked-list/find-the-length-of-a-linked-list,Fundamental LL operation — implement directly
92,Learn LinkedList,Learn 1D LinkedList,Medium,Search in Linked List,https://takeuforward.org/linked-list/search-an-element-in-a-linked-list,Fundamental LL operation — implement directly
93,Learn LinkedList,Learn Doubly LinkedList,Easy,Introduction to Doubly LL,https://takeuforward.org/linked-list/introduction-to-doubly-linked-list,Concept/theory video — no coding problem
94,Learn LinkedList,Learn Doubly LinkedList,Easy,Insert node before head in Doubly Linked List,https://takeuforward.org/data-structure/insert-at-end-of-doubly-linked-list/,Fundamental DLL operation — implement directly
95,Learn LinkedList,Learn Doubly LinkedList,Easy,Delete head of Doubly Linked List,https://takeuforward.org/data-structure/delete-last-node-of-a-doubly-linked-list/,Fundamental DLL operation — implement directly
96,Learn LinkedList,Learn Doubly LinkedList,Medium,Reverse a Doubly Linked List,https://takeuforward.org/data-structure/reverse-a-doubly-linked-list/,Reverse a Doubly Linked List' (search GFG) — DLL analog of LC 206 (already in your sheet for singly LL)
97,Learn LinkedList,Medium Problems of LL,easy,Middle of a LinkedList [TortoiseHare Method],https://leetcode.com/problems/middle-of-the-linked-list/,
98,Learn LinkedList,Medium Problems of LL,Medium,Reverse a LinkedList [Iterative],https://leetcode.com/problems/reverse-linked-list/,
99,Learn LinkedList,Medium Problems of LL,Medium,Reverse a LL,https://leetcode.com/problems/reverse-linked-list/,
100,Learn LinkedList,Medium Problems of LL,Medium,Detect a loop in LL,https://leetcode.com/problems/linked-list-cycle/,
101,Learn LinkedList,Medium Problems of LL,Medium,Find the starting point in LL,https://leetcode.com/problems/linked-list-cycle-ii/,
102,Learn LinkedList,Medium Problems of LL,Medium,Length of loop in LL,https://takeuforward.org/linked-list/length-of-loop-in-linked-list,Find length of loop in linked list' (search GFG) — builds on LC 141/142 (already in your sheet)
103,Learn LinkedList,Medium Problems of LL,Medium,Check if LL is palindrome or not,https://leetcode.com/problems/palindrome-linked-list/,
104,Learn LinkedList,Medium Problems of LL,Medium,Segregate odd and even nodes in Linked List,https://leetcode.com/problems/odd-even-linked-list/,
105,Learn LinkedList,Medium Problems of LL,Medium,Remove Nth node from the back of the LL,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
106,Learn LinkedList,Medium Problems of LL,Medium,Delete the middle node in LL,"https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/#:~:text=You%20are%20given%20the%20head,than%20or%20equal%20to%20x%20.",
107,Learn LinkedList,Medium Problems of LL,Hard,Sort LL,https://leetcode.com/problems/sort-list/,
108,Learn LinkedList,Medium Problems of LL,Medium,Sort a Linked List of 0's 1's and 2's,https://takeuforward.org/data-structure/sort-a-linked-list-of-0s-1s-and-2s-by-changing-links,"Sort a linked list of 0s, 1s and 2s' (search GFG) — LL analog of LC 75 Sort Colors (already in your sheet)"
109,Learn LinkedList,Medium Problems of LL,Medium,Find the intersection point of Y LL,https://leetcode.com/problems/intersection-of-two-linked-lists/,
110,Learn LinkedList,Medium Problems of LL,Medium,Add one to a number represented by LL,https://takeuforward.org/data-structure/add-1-to-a-number-represented-by-ll,Add 1 to a number represented as linked list' (search GFG) (LC's Plus One (66) is array-based)
111,Learn LinkedList,Medium Problems of LL,Medium,Add two numbers in Linked List,https://leetcode.com/problems/add-two-numbers/,
112,Learn LinkedList,Medium Problems of DLL,Hard,Delete all occurrences of a key in DLL,https://takeuforward.org/data-structure/delete-all-occurrences-of-a-key-in-dll,Delete all occurrences of a given key in a doubly linked list' (search GFG)
113,Learn LinkedList,Medium Problems of DLL,Medium,Find Pairs with Given Sum in Doubly Linked List,https://takeuforward.org/data-structure/find-pairs-with-given-sum-in-doubly-linked-list,Find pairs with given sum in doubly linked list' (search GFG) — two-pointer technique like LC 167 Two Sum II
114,Learn LinkedList,Medium Problems of DLL,hard,Remove duplicates from sorted DLL,https://takeuforward.org/data-structure/remove-duplicates-from-sorted-dll,Remove duplicates from a sorted doubly linked list' (search GFG)
115,Learn LinkedList,Hard Problems of LL,Hard,Reverse LL in group of given size K,https://leetcode.com/problems/reverse-nodes-in-k-group/,
116,Learn LinkedList,Hard Problems of LL,Hard,Rotate a LL,https://leetcode.com/problems/rotate-list/description/,
117,Learn LinkedList,Hard Problems of LL,Hard,Flattening of LL,https://takeuforward.org/data-structure/flattening-a-linked-list/,"Flattening a Linked List' (search GFG). Not the same as LC 430 Flatten Multilevel DLL — that's a different problem, so not forced here"
118,Learn LinkedList,Hard Problems of LL,Hard,Clone a LL with random and next pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,
119,Recursion,Get a Strong Hold,Medium,Recursive Implementation of atoi(),https://leetcode.com/problems/string-to-integer-atoi/,
120,Recursion,Get a Strong Hold,Easy,"Pow(x, n)",https://leetcode.com/problems/powx-n/,
121,Recursion,Get a Strong Hold,Medium,Count Good Numbers,https://leetcode.com/problems/count-good-numbers/,
122,Recursion,Get a Strong Hold,Medium,Sort a stack using recursion,https://takeuforward.org/data-structure/sort-a-stack,Sort a stack using recursion' (search GFG)
123,Recursion,Get a Strong Hold,Medium,Reverse a Stack,https://takeuforward.org/data-structure/reverse-a-stack-using-recursion,Reverse a stack using recursion' (search GFG)
124,Recursion,Subsequences Pattern,Medium,Generate Binary Strings Without Consecutive 1s,https://takeuforward.org/data-structure/generate-all-binary-strings,Generate all binary strings without consecutive 1s' (search GFG)
125,Recursion,Subsequences Pattern,Medium,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,
126,Recursion,Subsequences Pattern,Medium,Power Set,https://leetcode.com/problems/subsets/,"LC 78 (Subsets) — exact match, 'power set' is the same problem"
127,Recursion,Subsequences Pattern,Easy,Learn All Patterns of Subsequences (Theory),https://takeuforward.org/data-structure/learn-all-patterns-of-subsequences-theory,Concept/theory video — no coding problem
128,Recursion,Subsequences Pattern,Easy,Count all subsequences with sum K,https://takeuforward.org/data-structure/count-all-subsequences-with-sum-k,Count all subsets/subsequences with sum K' (search GFG) — same recursion pattern as LC 494 Target Sum / LC 416 (already in your sheet)
129,Recursion,Subsequences Pattern,Easy,Check if there exists a subsequence with sum K,https://takeuforward.org/data-structure/check-if-there-exists-a-subsequence-with-sum-k,Subset Sum Problem' (search GFG) — same technique as LC 416 Partition Equal Subset Sum (already in your sheet)
130,Recursion,Subsequences Pattern,Medium,Combination Sum,https://leetcode.com/problems/combination-sum/,
131,Recursion,Subsequences Pattern,Medium,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,
132,Recursion,Subsequences Pattern,Medium,Subsets I,https://leetcode.com/problems/subsets/,LC 78 (Subsets) — exact match
133,Recursion,Subsequences Pattern,Medium,Subsets II,https://leetcode.com/problems/subsets-ii/,
134,Recursion,Subsequences Pattern,Medium,Combination Sum III,https://leetcode.com/problems/combination-sum-iii/,
135,Recursion,Subsequences Pattern,Hard,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,
136,Recursion,Trying out all Combos / Hard,Hard,Palindrome partitioning,https://leetcode.com/problems/palindrome-partitioning/,LC 131 — exact match
137,Recursion,Trying out all Combos / Hard,Hard,Word Search,https://leetcode.com/problems/word-search/,
138,Recursion,Trying out all Combos / Hard,Hard,N Queen,https://leetcode.com/problems/n-queens/,
139,Recursion,Trying out all Combos / Hard,Hard,Rat in a Maze,https://takeuforward.org/data-structure/rat-in-a-maze/,Rat in a Maze Problem' (search GFG) — no direct LC equivalent
140,Recursion,Trying out all Combos / Hard,Medium,Word Break,https://leetcode.com/problems/word-break/,LC 139 — exact match
141,Recursion,Trying out all Combos / Hard,Hard,M Coloring Problem,https://takeuforward.org/data-structure/m-coloring-problem/,M-Coloring Problem' (search GFG) — no direct LC equivalent
142,Recursion,Trying out all Combos / Hard,Hard,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,
143,Recursion,Trying out all Combos / Hard,Hard,Expression Add Operators,https://leetcode.com/problems/expression-add-operators/,
144,Bit Manipulation,Learn Bit Manipulation,Easy,Introduction to Bits and Tricks,https://takeuforward.org/data-structure/introduction-to-bit-manipulation-theory,Concept/theory video — no coding problem
145,Bit Manipulation,Learn Bit Manipulation,Easy,Check if the i-th bit is Set or Not,https://takeuforward.org/data-structure/check-if-the-i-th-bit-is-set-or-not,Fundamental bit operation — one-liner (n>>i)&1
146,Bit Manipulation,Learn Bit Manipulation,Easy,Check if a Number is Odd or Not,https://takeuforward.org/data-structure/check-if-a-number-is-odd-or-not,Fundamental bit operation — one-liner n&1
147,Bit Manipulation,Learn Bit Manipulation,Easy,Check if a Number is Power of 2 or Not,https://leetcode.com/problems/power-of-two/,
148,Bit Manipulation,Learn Bit Manipulation,Easy,Count the Number of Set Bits,https://leetcode.com/problems/number-of-1-bits/,LC 191 (Number of 1 Bits) — exact match
149,Bit Manipulation,Learn Bit Manipulation,Easy,Set/Unset the rightmost unset bit,https://takeuforward.org/data-structure/set-the-rightmost-bit,Set the rightmost unset bit' (search GFG)
150,Bit Manipulation,Learn Bit Manipulation,Easy,Swap Two Numbers,https://takeuforward.org/data-structure/swap-two-numbers,Fundamental bit-trick (XOR swap) — no dedicated LC/GFG problem
151,Bit Manipulation,Learn Bit Manipulation,Medium,Divide two numbers without multiplication and division,https://leetcode.com/problems/divide-two-integers/,
152,Bit Manipulation,Interview Problems,Medium,Minimum Bit Flips to Convert Number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,
153,Bit Manipulation,Interview Problems,Medium,Single Number - I,https://leetcode.com/problems/single-number/,
154,Bit Manipulation,Interview Problems,Medium,Power Set Bit Manipulation,https://leetcode.com/problems/subsets/,
155,Bit Manipulation,Interview Problems,Medium,XOR of numbers in a given range,https://takeuforward.org/data-structure/find-xor-of-numbers-from-l-to-r,XOR of numbers from L to R' (search GFG)
156,Bit Manipulation,Interview Problems,Medium,Single Number - III,https://leetcode.com/problems/single-number-iii/,LC 260 — exact match
157,Bit Manipulation,Advanced Maths,Hard,Print Prime Factors of a Number,https://takeuforward.org/data-structure/find-the-two-numbers-appearing-odd-number-of-times,Prime Factorization' (search GFG) — no dedicated LC problem
158,Bit Manipulation,Advanced Maths,Easy,Divisors of a Number,https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/,Find all divisors of a number' (search GFG) — no dedicated LC problem
159,Bit Manipulation,Advanced Maths,Hard,Count primes in range L to R,https://leetcode.com/problems/count-primes/,
160,Bit Manipulation,Advanced Maths,Hard,Prime factorisation of a Number,https://takeuforward.org/data-structure/find-the-two-numbers-appearing-odd-number-of-times,Prime Factorization using Sieve' (search GFG) — no dedicated LC problem
161,Bit Manipulation,Advanced Maths,Easy,"Pow(x,n)",https://leetcode.com/problems/powx-n/,
162,Stack and Queues,Learning,Easy,Implement Stack using Arrays,https://takeuforward.org/data-structure/implement-stack-using-array/,Fundamental data-structure implementation — no dedicated LC problem; GFG has 'Stack using Array' if you want a checker
163,Stack and Queues,Learning,Easy,Implement Queue using Arrays,https://takeuforward.org/data-structure/implement-queue-using-array/,Fundamental data-structure implementation — no dedicated LC problem; GFG has 'Queue using Array' if you want a checker
164,Stack and Queues,Learning,Easy,Implement Stack using Queue,https://leetcode.com/problems/implement-stack-using-queues/,
165,Stack and Queues,Learning,Easy,Implement Queue using Stack,https://leetcode.com/problems/implement-queue-using-stacks/,
166,Stack and Queues,Learning,Easy,Implement stack using Linkedlist,https://takeuforward.org/data-structure/implement-stack-using-linked-list/,Fundamental data-structure implementation — no dedicated LC problem
167,Stack and Queues,Learning,Easy,Implement queue using Linkedlist,https://takeuforward.org/data-structure/implement-queue-using-linked-list/,Fundamental data-structure implementation — no dedicated LC problem
168,Stack and Queues,Learning,Easy,Balanced Paranthesis,https://leetcode.com/problems/valid-parentheses/,
169,Stack and Queues,Learning,Hard,Implement Min Stack,https://leetcode.com/problems/min-stack/,
170,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Medium,Infix to Postfix Conversion,https://takeuforward.org/data-structure/infix-to-postfix/,Infix to Postfix' (search GFG)
171,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Medium,Prefix to Infix Conversion,https://takeuforward.org/data-structure/prefix-to-infix-conversion,Prefix to Infix Conversion' (search GFG)
172,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Medium,Prefix to Postfix Conversion,https://takeuforward.org/data-structure/prefix-to-postfix-conversion,Prefix to Postfix Conversion' (search GFG)
173,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Medium,Postfix to Prefix Conversion,https://takeuforward.org/data-structure/postfix-to-prefix-conversion,Postfix to Prefix Conversion' (search GFG)
174,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Easy,Postfix to Infix Conversion,https://takeuforward.org/data-structure/postfix-to-infix,Postfix to Infix Conversion' (search GFG)
175,Stack and Queues,"Prefix, Infix, PostFix Conversion Problems",Medium,Infix to Prefix Conversion,https://takeuforward.org/data-structure/infix-to-prefix/,Infix to Prefix Conversion' (search GFG)
176,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Next Greater Element,https://leetcode.com/problems/next-greater-element-i/,
177,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Next Greater Element - 2,https://leetcode.com/problems/next-greater-element-ii/,
178,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Next Smaller Element,https://takeuforward.org/data-structure/next-smaller-element,Next Smaller Element' (search GFG) — monotonic-stack counterpart to Next Greater Element (already in your sheet)
179,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Easy,Number of Greater Elements to the Right,https://takeuforward.org/data-structure/number-of-nges-to-the-right,Count Greater Elements to right' (search GFG)
180,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Hard,Trapping Rainwater,https://leetcode.com/problems/trapping-rain-water/,
181,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums/,
182,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,
183,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Sum of Subarray Ranges,https://leetcode.com/problems/sum-of-subarray-ranges/,
184,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Medium,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,
185,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Hard,Largest rectangle in a histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,
186,Stack and Queues,Monotonic Stack/Queue Problems [VVV. Imp],Hard,Maximum Rectangles,https://leetcode.com/problems/maximal-rectangle/,
